epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6491,1.80561,3.79529,1.40336,0.49376,0.27987,0.18005,0.10527,1.43776,2.91756,1.17618,0.000218058,0.000218058,0.000218058
2,17.7454,1.71128,2.66358,1.34682,0.48389,0.45461,0.4872,0.29056,1.29928,2.15819,1.17591,0.000431671,0.000431671,0.000431671
3,24.6769,1.65943,2.11437,1.34974,0.60269,0.7134,0.69945,0.44954,1.35882,1.52118,1.2524,0.00063648,0.00063648,0.00063648
4,31.655,1.64524,1.86744,1.33984,0.73972,0.78595,0.79161,0.49383,1.3281,1.22955,1.21593,0.00062738,0.00062738,0.00062738
5,38.5233,1.56223,1.63437,1.29042,0.75711,0.69216,0.82925,0.52131,1.24992,1.31947,1.17638,0.000614174,0.000614174,0.000614174
6,45.4232,1.52903,1.55743,1.2882,0.92892,0.71941,0.8599,0.56184,1.2435,1.10627,1.16927,0.000600967,0.000600967,0.000600967
7,52.3716,1.52046,1.47829,1.27994,0.80241,0.76789,0.87345,0.59295,1.20442,1.17708,1.1581,0.00058776,0.00058776,0.00058776
8,59.2622,1.48146,1.3611,1.24776,0.89299,0.84587,0.90837,0.60711,1.22292,0.92391,1.1821,0.000574554,0.000574554,0.000574554
9,66.1164,1.45048,1.29832,1.24046,0.70696,0.88731,0.88767,0.59282,1.21765,0.98621,1.17793,0.000561347,0.000561347,0.000561347
10,72.9866,1.43597,1.25621,1.2352,0.8209,0.87699,0.90214,0.60996,1.159,0.95385,1.16916,0.000548141,0.000548141,0.000548141
11,79.9062,1.42224,1.21472,1.22354,0.90659,0.91877,0.9242,0.64496,1.15998,0.859,1.16495,0.000534934,0.000534934,0.000534934
12,86.7974,1.40546,1.18404,1.22289,0.85911,0.89809,0.92224,0.63021,1.17547,0.84184,1.1647,0.000521727,0.000521727,0.000521727
13,93.6548,1.38297,1.13171,1.20914,0.87393,0.89932,0.91893,0.65595,1.12413,0.85058,1.14964,0.000508521,0.000508521,0.000508521
14,100.571,1.37238,1.11968,1.20523,0.91404,0.93381,0.93258,0.65833,1.12725,0.81628,1.15317,0.000495314,0.000495314,0.000495314
15,107.455,1.34976,1.06396,1.18899,0.89256,0.89885,0.91892,0.64595,1.1366,0.78794,1.15034,0.000482108,0.000482108,0.000482108
16,114.355,1.35565,1.05962,1.1971,0.87522,0.91687,0.92293,0.64517,1.121,0.76116,1.14583,0.000468901,0.000468901,0.000468901
17,121.146,1.33555,1.02533,1.18767,0.89389,0.91771,0.91881,0.66719,1.05439,0.75197,1.12576,0.000455694,0.000455694,0.000455694
18,127.949,1.32994,0.98965,1.1865,0.85881,0.92433,0.92826,0.63707,1.18696,0.76486,1.16173,0.000442488,0.000442488,0.000442488
19,134.85,1.3155,0.98241,1.17815,0.87167,0.91772,0.92128,0.65306,1.13937,0.74595,1.16615,0.000429281,0.000429281,0.000429281
