epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0328,1.72824,1.54355,1.61446,0.11307,0.32457,0.05008,0.019,2.62698,inf,3.5848,0.000550324,0.000550324,0.000550324
2,77.873,1.8327,1.41661,1.74497,0.24264,0.41848,0.16691,0.04977,2.2403,35.6743,2.97952,0.00108409,0.00108409,0.00108409
3,115.386,1.8031,1.3515,1.70953,0.50528,0.55046,0.53042,0.24602,1.63691,4.63255,1.92291,0.00159586,0.00159586,0.00159586
4,152.583,1.81385,1.40133,1.75717,0.64483,0.57902,0.61091,0.28691,1.59344,2.43691,1.81434,0.00156798,0.00156798,0.00156798
5,189.865,1.71691,1.23221,1.67694,0.69212,0.5667,0.61544,0.27202,1.60525,1.71201,1.80615,0.00153497,0.00153497,0.00153497
6,226.721,1.63525,1.11918,1.61432,0.83744,0.66305,0.76302,0.38748,1.54668,1.12308,1.7471,0.00150197,0.00150197,0.00150197
7,263.747,1.63899,1.04916,1.61537,0.69849,0.65023,0.70573,0.36551,1.49473,1.6158,1.70585,0.00146896,0.00146896,0.00146896
8,300.435,1.6159,1.01569,1.57384,0.69776,0.63235,0.67456,0.34421,1.48793,1.37208,1.72989,0.00143595,0.00143595,0.00143595
9,337.33,1.60768,1.00349,1.5928,0.77443,0.62289,0.72563,0.39251,1.37417,1.29806,1.59977,0.00140295,0.00140295,0.00140295
10,374.44,1.5383,0.90572,1.52022,0.73375,0.76751,0.76387,0.4478,1.44137,0.94254,1.66557,0.00136994,0.00136994,0.00136994
11,411.533,1.54792,0.92965,1.52902,0.79119,0.75714,0.79682,0.44746,1.29652,0.82275,1.56859,0.00133693,0.00133693,0.00133693
12,448.566,1.52173,0.91063,1.51764,0.87295,0.7373,0.80437,0.41806,1.29921,0.8136,1.56988,0.00130393,0.00130393,0.00130393
13,485.326,1.44952,0.82419,1.4735,0.84705,0.74554,0.84609,0.49442,1.27709,0.77957,1.50813,0.00127092,0.00127092,0.00127092
14,522.477,1.48663,0.83356,1.48069,0.79884,0.69435,0.77096,0.42592,1.41436,0.9184,1.65377,0.00123791,0.00123791,0.00123791
15,559.194,1.47517,0.83942,1.46843,0.82343,0.66927,0.76185,0.44784,1.28862,0.87376,1.53584,0.00120491,0.00120491,0.00120491
16,595.988,1.3995,0.78226,1.4319,0.825,0.74268,0.78333,0.45995,1.22712,0.72089,1.47825,0.0011719,0.0011719,0.0011719
17,632.769,1.42182,0.79396,1.43876,0.80144,0.80297,0.82636,0.48183,1.2419,0.68603,1.49749,0.00113889,0.00113889,0.00113889
18,669.588,1.38708,0.76354,1.42445,0.83593,0.7512,0.79345,0.48999,1.19012,0.73889,1.47932,0.00110589,0.00110589,0.00110589
19,706.414,1.3833,0.73822,1.40935,0.88445,0.75677,0.82804,0.46922,1.26822,0.73251,1.53326,0.00107288,0.00107288,0.00107288
20,743.276,1.35717,0.73201,1.40266,0.90468,0.75615,0.81648,0.50248,1.12285,0.67457,1.4341,0.00103987,0.00103987,0.00103987
21,780.329,1.34329,0.71192,1.40263,0.88256,0.73395,0.8122,0.46892,1.16857,0.70611,1.44461,0.00100687,0.00100687,0.00100687
22,817.132,1.33663,0.70815,1.39184,0.77911,0.77789,0.80632,0.4995,1.20186,0.69566,1.46941,0.000973861,0.000973861,0.000973861
23,853.902,1.33444,0.69169,1.38162,0.84691,0.7777,0.79952,0.49458,1.21295,0.79294,1.47418,0.000940855,0.000940855,0.000940855
24,890.684,1.33607,0.69539,1.38931,0.8456,0.76751,0.81397,0.50645,1.15109,0.58822,1.45449,0.000907848,0.000907848,0.000907848
25,927.875,1.32167,0.69065,1.38346,0.88167,0.76318,0.81363,0.51453,1.15379,0.60444,1.43696,0.000874842,0.000874842,0.000874842
26,965.027,1.25979,0.65176,1.34025,0.90002,0.77148,0.83457,0.52639,1.1274,0.61288,1.43554,0.000841835,0.000841835,0.000841835
27,1002.12,1.29052,0.66452,1.3569,0.93306,0.78833,0.85691,0.53916,1.10595,0.57433,1.40665,0.000808828,0.000808828,0.000808828
