epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.551,1.76087,1.66453,1.47572,0.65496,0.62478,0.68422,0.36032,1.21031,1.78382,1.35587,0.000544981,0.000544981,0.000544981
2,31.0776,1.62133,1.09121,1.38077,0.59749,0.55858,0.5559,0.2772,1.43996,1.69905,1.63185,0.00107885,0.00107885,0.00107885
3,43.3962,1.64791,1.08051,1.42568,0.67449,0.49555,0.53725,0.22417,2.15323,4.47132,2.29411,0.00159072,0.00159072,0.00159072
4,55.3839,1.65165,1.04236,1.43662,0.63266,0.54062,0.56964,0.28404,1.54961,2.22066,1.61902,0.00156798,0.00156798,0.00156798
5,67.3946,1.59987,1.00395,1.38326,0.6712,0.67531,0.6911,0.36408,1.22061,1.62375,1.36424,0.00153497,0.00153497,0.00153497
6,79.4448,1.56704,0.95709,1.3792,0.76018,0.70942,0.75474,0.39148,1.35956,1.08083,1.47911,0.00150197,0.00150197,0.00150197
7,91.43,1.55714,0.93747,1.37568,0.79319,0.74406,0.76559,0.41235,1.34783,1.05162,1.48753,0.00146896,0.00146896,0.00146896
8,103.416,1.5,0.87197,1.33216,0.82281,0.7068,0.78874,0.43251,1.30093,0.85914,1.45077,0.00143595,0.00143595,0.00143595
9,115.371,1.49225,0.84393,1.32526,0.83989,0.81596,0.85526,0.46554,1.20312,0.8703,1.39564,0.00140295,0.00140295,0.00140295
10,127.435,1.45914,0.82491,1.3103,0.76738,0.81235,0.80227,0.45566,1.30052,1.20087,1.38829,0.00136994,0.00136994,0.00136994
11,139.368,1.45394,0.82431,1.29951,0.76701,0.75796,0.76643,0.4126,1.23856,0.88271,1.33647,0.00133693,0.00133693,0.00133693
12,151.627,1.42792,0.79756,1.29443,0.88516,0.81371,0.85077,0.50046,1.19627,0.70416,1.3806,0.00130393,0.00130393,0.00130393
13,163.656,1.38361,0.76784,1.26444,0.87016,0.79816,0.83844,0.48331,1.09116,0.70982,1.28605,0.00127092,0.00127092,0.00127092
14,175.617,1.38733,0.74891,1.26276,0.76618,0.70025,0.7679,0.44403,1.18363,1.6384,1.3194,0.00123791,0.00123791,0.00123791
15,187.87,1.37492,0.73157,1.25192,0.86593,0.7694,0.82697,0.49823,0.99146,0.61778,1.25544,0.00120491,0.00120491,0.00120491
16,200.149,1.36325,0.72847,1.25231,0.85152,0.77958,0.81631,0.4668,1.12878,0.6802,1.32343,0.0011719,0.0011719,0.0011719
17,212.303,1.35927,0.71441,1.24037,0.89831,0.80299,0.83338,0.49064,1.09787,0.66868,1.26806,0.00113889,0.00113889,0.00113889
18,224.334,1.33902,0.69823,1.23806,0.89845,0.80282,0.82644,0.49217,1.01974,0.64351,1.25114,0.00110589,0.00110589,0.00110589
19,236.305,1.32852,0.70153,1.23128,0.89013,0.81902,0.8274,0.48002,1.04617,0.58701,1.24295,0.00107288,0.00107288,0.00107288
20,248.268,1.3047,0.68016,1.21245,0.92083,0.75837,0.81075,0.4868,1.05089,0.64462,1.26157,0.00103987,0.00103987,0.00103987
21,260.231,1.30598,0.67804,1.21138,0.90976,0.78722,0.85997,0.51554,1.04346,0.6306,1.27702,0.00100687,0.00100687,0.00100687
22,272.273,1.28743,0.65878,1.21311,0.87011,0.84824,0.83972,0.5038,0.99238,0.65115,1.24258,0.000973861,0.000973861,0.000973861
23,284.254,1.25095,0.63505,1.18391,0.86918,0.822,0.84473,0.52273,0.96185,0.59157,1.23131,0.000940855,0.000940855,0.000940855
24,296.374,1.27483,0.64769,1.1968,0.86297,0.82823,0.84083,0.51299,1.06218,0.61305,1.24442,0.000907848,0.000907848,0.000907848
25,308.426,1.23831,0.64484,1.17801,0.85349,0.80107,0.84477,0.50511,1.05206,0.7038,1.29659,0.000874842,0.000874842,0.000874842
26,320.385,1.22908,0.63266,1.17195,0.87286,0.80556,0.81093,0.51545,0.94039,0.59416,1.23314,0.000841835,0.000841835,0.000841835
27,332.348,1.22316,0.62266,1.16527,0.88769,0.78445,0.83806,0.53658,1.00552,0.55197,1.23293,0.000808828,0.000808828,0.000808828
28,344.341,1.20669,0.62733,1.17315,0.86318,0.79282,0.8307,0.49112,1.02689,0.55651,1.26057,0.000775822,0.000775822,0.000775822
29,356.324,1.20299,0.61531,1.16327,0.87611,0.78751,0.84893,0.54993,1.0962,0.56355,1.29376,0.000742815,0.000742815,0.000742815
30,368.382,1.18846,0.61656,1.14749,0.84562,0.82615,0.84617,0.53732,1.0459,0.55237,1.28673,0.000709809,0.000709809,0.000709809
31,380.341,1.18589,0.60416,1.14963,0.88377,0.80107,0.82251,0.52314,1.00803,0.56189,1.24871,0.000676802,0.000676802,0.000676802
32,392.293,1.18188,0.59133,1.14934,0.8996,0.83912,0.84766,0.54896,0.95531,0.52715,1.18258,0.000643795,0.000643795,0.000643795
33,404.282,1.1255,0.57006,1.11364,0.89877,0.8372,0.85164,0.54207,1.02929,0.54535,1.28701,0.000610789,0.000610789,0.000610789
34,416.217,1.14272,0.57888,1.13858,0.84032,0.82827,0.81711,0.51615,1.01433,0.55193,1.22305,0.000577782,0.000577782,0.000577782
35,428.201,1.12441,0.56952,1.12645,0.88153,0.86179,0.86065,0.52616,1.09541,0.58794,1.31622,0.000544776,0.000544776,0.000544776
36,440.141,1.12064,0.55956,1.11462,0.92344,0.85693,0.86204,0.53293,0.98494,0.54912,1.24772,0.000511769,0.000511769,0.000511769
37,452.135,1.11262,0.55543,1.11448,0.91225,0.84501,0.85816,0.53146,1.03694,0.55004,1.23304,0.000478762,0.000478762,0.000478762
38,464.124,1.09668,0.54625,1.10047,0.88822,0.83294,0.85171,0.53694,1.00968,0.53773,1.19932,0.000445756,0.000445756,0.000445756
39,476.113,1.09462,0.54706,1.0985,0.89308,0.80183,0.84441,0.54337,0.96297,0.51468,1.21571,0.000412749,0.000412749,0.000412749
40,488.123,1.06948,0.53447,1.09668,0.89045,0.83411,0.85134,0.54689,0.96789,0.50537,1.20382,0.000379743,0.000379743,0.000379743
41,533.149,1.02749,0.4681,1.08392,0.91227,0.78222,0.85104,0.55111,0.95197,0.55294,1.17748,0.000346736,0.000346736,0.000346736
42,545.044,1.00567,0.46413,1.07427,0.87298,0.84935,0.85162,0.54646,1.04246,0.5525,1.21752,0.000313729,0.000313729,0.000313729
43,556.877,0.98379,0.4495,1.06191,0.88291,0.79241,0.84885,0.54668,1.00565,0.52138,1.19415,0.000280723,0.000280723,0.000280723
44,568.713,0.97168,0.44177,1.0606,0.84358,0.8386,0.85522,0.55526,0.96357,0.51754,1.1706,0.000247716,0.000247716,0.000247716
45,580.633,0.95233,0.43728,1.04839,0.91315,0.82554,0.8647,0.55544,0.98078,0.50695,1.17516,0.00021471,0.00021471,0.00021471
