epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4944,0.85382,0.43222,1.09665,0.89409,0.83435,0.86282,0.55072,1.02207,0.46877,1.39943,0.000550324,0.000550324,0.000550324
2,79.5137,0.97876,0.48459,1.15329,0.86088,0.75677,0.81403,0.54802,1.05446,0.51954,1.42303,0.00108409,0.00108409,0.00108409
3,116.8,1.02453,0.50968,1.18061,0.84985,0.7845,0.85076,0.53325,1.12803,0.53538,1.44253,0.00159586,0.00159586,0.00159586
4,153.537,1.05199,0.53267,1.2087,0.83784,0.74378,0.81331,0.53034,1.13974,0.62895,1.47934,0.00156798,0.00156798,0.00156798
5,190.563,1.04292,0.54372,1.1991,0.83853,0.80307,0.84054,0.52818,1.16352,0.67076,1.45903,0.00153497,0.00153497,0.00153497
6,227.525,1.05924,0.54171,1.2131,0.8729,0.74866,0.82891,0.50874,1.15905,0.56278,1.55631,0.00150197,0.00150197,0.00150197
7,264.504,1.06185,0.54124,1.21113,0.83888,0.80402,0.85039,0.53567,1.06767,0.54753,1.39008,0.00146896,0.00146896,0.00146896
8,302.105,1.06487,0.54448,1.20342,0.81078,0.8159,0.8403,0.54515,1.08609,0.544,1.43596,0.00143595,0.00143595,0.00143595
9,339.208,1.06811,0.54146,1.21986,0.86459,0.81625,0.84912,0.52975,1.20651,0.56893,1.49422,0.00140295,0.00140295,0.00140295
10,375.989,1.03163,0.52372,1.18893,0.8979,0.84086,0.87106,0.54463,1.12279,0.5106,1.45777,0.00136994,0.00136994,0.00136994
11,412.608,1.04784,0.52581,1.20357,0.84493,0.78436,0.83166,0.52708,1.12636,0.5166,1.43276,0.00133693,0.00133693,0.00133693
12,449.203,1.04878,0.5308,1.19507,0.83857,0.77996,0.82312,0.52457,1.04798,0.56874,1.4197,0.00130393,0.00130393,0.00130393
13,485.803,0.99158,0.49546,1.17209,0.80606,0.80266,0.82488,0.55761,1.13871,0.539,1.44766,0.00127092,0.00127092,0.00127092
14,522.599,1.03625,0.52333,1.18717,0.86003,0.83536,0.8485,0.55376,1.02956,0.55095,1.38949,0.00123791,0.00123791,0.00123791
15,559.342,1.02415,0.52058,1.18167,0.88084,0.80262,0.83303,0.55165,1.00794,0.50367,1.39676,0.00120491,0.00120491,0.00120491
16,597.021,0.99487,0.50518,1.16618,0.86519,0.82823,0.83877,0.54151,1.07319,0.50059,1.44157,0.0011719,0.0011719,0.0011719
17,638.769,1.00731,0.51884,1.16519,0.87582,0.83238,0.85931,0.53814,1.06476,0.48706,1.43412,0.00113889,0.00113889,0.00113889
18,680.734,0.97353,0.49042,1.15413,0.90207,0.76755,0.83752,0.53423,1.02494,0.47739,1.40949,0.00110589,0.00110589,0.00110589
19,722.645,0.99114,0.49446,1.15279,0.91142,0.7647,0.82678,0.54133,1.0335,0.49858,1.40633,0.00107288,0.00107288,0.00107288
20,764.796,0.96328,0.48435,1.14998,0.88351,0.81975,0.84178,0.54081,1.02046,0.50889,1.38396,0.00103987,0.00103987,0.00103987
21,803.564,0.96463,0.48278,1.15368,0.83302,0.80711,0.85174,0.56401,1.00034,0.47281,1.38271,0.00100687,0.00100687,0.00100687
22,841.886,0.95559,0.48074,1.1408,0.84697,0.81975,0.82486,0.53369,1.01799,0.50373,1.3645,0.000973861,0.000973861,0.000973861
