epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.962,2.94271,3.85299,1.82066,0.30804,0.49867,0.2844,0.16641,1.54519,4.2618,1.61455,0.00010005,0.00010005,0.00010005
2,520.61,2.04805,1.61122,1.14248,0.54393,0.56662,0.51556,0.29429,1.57494,4.18482,1.64277,0.000202676,0.000202676,0.000202676
3,730.853,1.96783,1.49343,1.1314,0.23085,0.50596,0.32752,0.17348,1.6485,25.4768,1.80513,0.000301076,0.000301076,0.000301076
4,1053.02,1.91154,1.3524,1.0607,0.49332,0.34576,0.3901,0.20776,1.63474,3.82529,1.80541,0.00039525,0.00039525,0.00039525
5,1345.92,1.82254,1.24574,1.06343,0.6029,0.44932,0.55305,0.34104,1.46524,3.60406,1.70405,0.000485197,0.000485197,0.000485197
6,1577.97,1.78252,1.12917,1.06742,0.56283,0.62387,0.63996,0.33518,1.59524,2.66611,1.78003,0.000570919,0.000570919,0.000570919
7,1786.88,1.75538,1.08258,1.03767,0.6873,0.57364,0.68659,0.39262,1.55963,2.13503,1.87142,0.00058776,0.00058776,0.00058776
8,1984.2,1.79148,1.0759,1.03919,0.55426,0.63291,0.64832,0.36266,1.58743,2.04211,1.81852,0.000574554,0.000574554,0.000574554
9,2229.45,1.70146,0.98264,1.02445,0.69367,0.64187,0.68707,0.37576,1.60354,2.24557,1.93495,0.000561347,0.000561347,0.000561347
10,2432.98,1.67881,0.94154,1.03369,0.64566,0.65828,0.69228,0.40157,1.40844,1.66664,1.63946,0.000548141,0.000548141,0.000548141
11,2677.12,1.61246,0.89458,1.00832,0.72986,0.56148,0.68266,0.44082,1.45361,1.62264,1.68288,0.000534934,0.000534934,0.000534934
12,2951.86,1.68959,0.96155,1.01102,0.74143,0.64528,0.71718,0.45162,1.52407,1.72248,1.88695,0.000521727,0.000521727,0.000521727
13,3159.37,1.64584,0.89456,1.00692,0.72246,0.66515,0.7433,0.40559,1.55528,1.61534,1.90346,0.000508521,0.000508521,0.000508521
14,3386.16,1.627,0.91145,1.0175,0.79967,0.77951,0.82802,0.53356,1.22708,1.20596,1.52913,0.000495314,0.000495314,0.000495314
15,3662.5,1.52893,0.87615,1.00375,0.82774,0.82089,0.86559,0.57011,1.1968,1.15976,1.55552,0.000482108,0.000482108,0.000482108
16,3876.97,1.645,0.86129,0.98219,0.83654,0.71726,0.81312,0.51703,1.37827,1.20443,1.61595,0.000468901,0.000468901,0.000468901
17,4428.4,1.60135,0.86357,0.97776,0.73586,0.80224,0.86425,0.56939,1.28208,1.18178,1.64307,0.000455694,0.000455694,0.000455694
