epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.4162,1.78421,4.35498,1.54534,0.34577,0.76775,0.47723,0.29936,1.29368,13.0883,1.25961,0.000218058,0.000218058,0.000218058
2,88.5017,1.57569,1.85814,1.37574,0.76286,0.73729,0.80458,0.49961,1.32723,1.23035,1.32941,0.000431671,0.000431671,0.000431671
3,138.938,1.56384,1.46199,1.41074,0.83473,0.82672,0.90959,0.55663,1.3019,1.04711,1.32185,0.00063648,0.00063648,0.00063648
4,193.381,1.54644,1.30371,1.39237,0.83297,0.83052,0.87356,0.57129,1.27825,0.92518,1.29662,0.00062738,0.00062738,0.00062738
5,244.607,1.46974,1.16428,1.34753,0.83459,0.89838,0.85706,0.59955,1.19295,0.96462,1.22434,0.000614174,0.000614174,0.000614174
6,298.161,1.45583,1.10215,1.34026,0.86311,0.85828,0.93281,0.62241,1.2129,0.8916,1.24709,0.000600967,0.000600967,0.000600967
7,346.017,1.43802,1.07654,1.35274,0.86158,0.92033,0.92749,0.64236,1.14945,0.85934,1.21784,0.00058776,0.00058776,0.00058776
8,415.786,1.40406,1.00593,1.31582,0.83736,0.88517,0.90364,0.64001,1.14821,0.84944,1.24795,0.000574554,0.000574554,0.000574554
9,483.473,1.36254,0.93864,1.29047,0.81561,0.91735,0.89784,0.64444,1.11133,0.737,1.20993,0.000561347,0.000561347,0.000561347
10,543.525,1.34062,0.90104,1.28022,0.83219,0.91443,0.90897,0.62649,1.20582,0.76588,1.24291,0.000548141,0.000548141,0.000548141
11,600.06,1.33322,0.87964,1.27523,0.85369,0.90828,0.90447,0.62563,1.2023,0.75316,1.22477,0.000534934,0.000534934,0.000534934
12,658.203,1.32357,0.87032,1.27949,0.83826,0.88269,0.92147,0.6468,1.13267,0.73836,1.22821,0.000521727,0.000521727,0.000521727
13,719.65,1.28098,0.83342,1.2518,0.91305,0.88297,0.92816,0.63867,1.1412,0.70818,1.20777,0.000508521,0.000508521,0.000508521
14,792.477,1.27782,0.81541,1.24552,0.89087,0.92685,0.9204,0.6338,1.13497,0.73553,1.20189,0.000495314,0.000495314,0.000495314
15,857.17,1.24905,0.76764,1.23264,0.82619,0.9097,0.89308,0.6268,1.15217,0.68395,1.22229,0.000482108,0.000482108,0.000482108
16,932.587,1.25788,0.78636,1.23782,0.89549,0.92662,0.93062,0.66611,1.05629,0.67141,1.17159,0.000468901,0.000468901,0.000468901
17,997.475,1.23992,0.76132,1.22137,0.89277,0.92802,0.94725,0.67121,1.04147,0.61778,1.17103,0.000455694,0.000455694,0.000455694
18,1045.65,1.21204,0.73214,1.21497,0.87251,0.93781,0.93064,0.64821,1.1078,0.69047,1.19974,0.000442488,0.000442488,0.000442488
19,1110.31,1.18979,0.71089,1.19703,0.91334,0.93643,0.93281,0.65153,1.12168,0.62662,1.20957,0.000429281,0.000429281,0.000429281
20,1157.32,1.18242,0.71225,1.19361,0.84134,0.97166,0.92664,0.65173,1.09393,0.66137,1.20053,0.000416075,0.000416075,0.000416075
21,1217.44,1.19188,0.70186,1.18868,0.86261,0.95905,0.93189,0.68247,1.02642,0.62421,1.1927,0.000402868,0.000402868,0.000402868
22,1283.73,1.17055,0.67955,1.18823,0.91429,0.94643,0.93323,0.6679,1.06,0.5961,1.17609,0.000389661,0.000389661,0.000389661
23,1333.37,1.1324,0.66047,1.16573,0.84975,0.91383,0.92064,0.6747,1.03887,0.66051,1.18226,0.000376455,0.000376455,0.000376455
24,1388.38,1.16677,0.66647,1.18312,0.88161,0.94592,0.93349,0.6872,1.05373,0.61011,1.17851,0.000363248,0.000363248,0.000363248
25,1431.04,1.1224,0.65109,1.1525,0.94397,0.91152,0.93917,0.67198,1.078,0.58995,1.1997,0.000350042,0.000350042,0.000350042
26,1512.88,1.12189,0.63698,1.1554,0.92316,0.93043,0.9519,0.66853,1.03653,0.59736,1.16125,0.000336835,0.000336835,0.000336835
27,1569.63,1.09886,0.62149,1.1411,0.91965,0.91585,0.9482,0.67106,1.03944,0.59933,1.16186,0.000323628,0.000323628,0.000323628
28,1606.72,1.06492,0.62272,1.13765,0.91866,0.89396,0.94394,0.68731,1.01742,0.6083,1.14401,0.000310422,0.000310422,0.000310422
29,1652.74,1.06881,0.60969,1.13381,0.9046,0.89676,0.94158,0.69741,1.01116,0.60988,1.14125,0.000297215,0.000297215,0.000297215
30,1685.8,1.07325,0.60999,1.13417,0.91504,0.94564,0.94165,0.6813,1.0296,0.59678,1.15377,0.000284009,0.000284009,0.000284009
31,1733.74,1.06564,0.61278,1.13146,0.88249,0.92917,0.94317,0.67696,1.03828,0.6349,1.16158,0.000270802,0.000270802,0.000270802
32,1779.85,1.04983,0.59092,1.12089,0.90397,0.91698,0.95499,0.69496,0.9933,0.59906,1.1331,0.000257595,0.000257595,0.000257595
33,1823.44,1.00216,0.56653,1.09229,0.87592,0.88808,0.90395,0.66869,1.01747,0.60491,1.15076,0.000244389,0.000244389,0.000244389
34,1866.26,1.02249,0.5838,1.11451,0.91715,0.94643,0.94524,0.69436,0.9963,0.61779,1.15796,0.000231182,0.000231182,0.000231182
35,1924.35,0.99525,0.56393,1.10155,0.89757,0.94048,0.94353,0.67536,1.01953,0.5913,1.15444,0.000217976,0.000217976,0.000217976
36,1971.19,0.99303,0.55476,1.09486,0.89683,0.89786,0.92712,0.67988,1.00919,0.61131,1.18576,0.000204769,0.000204769,0.000204769
37,2022.5,0.99203,0.54778,1.09342,0.88557,0.92553,0.94266,0.6886,1.03739,0.59706,1.19068,0.000191562,0.000191562,0.000191562
38,2065.7,0.97538,0.54112,1.08545,0.9165,0.94351,0.9418,0.7017,0.99031,0.61217,1.17499,0.000178356,0.000178356,0.000178356
39,2110.25,0.95709,0.5319,1.07316,0.90247,0.95358,0.92418,0.67261,1.02758,0.64199,1.1669,0.000165149,0.000165149,0.000165149
40,2158.15,0.94159,0.52994,1.06734,0.89044,0.94909,0.93478,0.68856,1.03028,0.65354,1.17344,0.000151943,0.000151943,0.000151943
41,2241.2,0.88061,0.42732,1.05337,0.88412,0.91979,0.9087,0.65556,1.05171,0.64785,1.20447,0.000138736,0.000138736,0.000138736
42,2292.3,0.86919,0.41756,1.04687,0.8907,0.91593,0.91595,0.66749,1.04962,0.65206,1.20925,0.000125529,0.000125529,0.000125529
43,2348.34,0.84817,0.40511,1.03801,0.89044,0.93505,0.91767,0.66309,1.03161,0.58605,1.18976,0.000112323,0.000112323,0.000112323
44,2411.75,0.8428,0.39759,1.02531,0.89667,0.92302,0.93309,0.69496,0.99174,0.59498,1.18054,9.91162e-05,9.91162e-05,9.91162e-05
45,2468.78,0.8344,0.39524,1.02791,0.91721,0.94643,0.94024,0.70201,0.96966,0.55089,1.17191,8.59096e-05,8.59096e-05,8.59096e-05
46,2518.1,0.81261,0.38825,1.01826,0.90779,0.94643,0.93731,0.68879,0.99612,0.57428,1.19776,7.2703e-05,7.2703e-05,7.2703e-05
47,2557.28,0.79412,0.37593,1.00765,0.90835,0.9379,0.93989,0.69413,0.96869,0.56023,1.1863,5.94964e-05,5.94964e-05,5.94964e-05
48,2605.97,0.8005,0.37598,1.01281,0.88996,0.92206,0.92033,0.68194,0.98685,0.5535,1.19422,4.62898e-05,4.62898e-05,4.62898e-05
49,2645.77,0.78634,0.37536,1.00531,0.88599,0.92869,0.91929,0.68547,0.98959,0.55762,1.18556,3.30832e-05,3.30832e-05,3.30832e-05
50,2701.95,0.77288,0.37176,0.99514,0.8979,0.93972,0.9229,0.68826,0.99045,0.56465,1.19459,1.98766e-05,1.98766e-05,1.98766e-05
