epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,238.048,1.70668,2.5848,1.53859,0.83321,0.67317,0.82899,0.52906,1.29167,1.83705,1.39337,0.000218058,0.000218058,0.000218058
2,466.274,1.57214,1.41455,1.43889,0.58561,0.72308,0.67175,0.40167,1.48575,1.62658,1.54832,0.000431671,0.000431671,0.000431671
3,745.312,1.56712,1.30438,1.47975,0.60044,0.79755,0.70236,0.42146,1.31492,2.83798,1.40853,0.00063648,0.00063648,0.00063648
4,931.503,1.55277,1.23822,1.46063,0.82977,0.75836,0.85016,0.50985,1.36082,1.39108,1.47063,0.00062738,0.00062738,0.00062738
5,1110.45,1.50263,1.10619,1.45556,0.80937,0.77109,0.88552,0.54071,1.24241,1.06211,1.40314,0.000614174,0.000614174,0.000614174
6,1333.84,1.46398,1.06623,1.42862,0.76529,0.85258,0.87787,0.5769,1.22743,0.86658,1.35533,0.000600967,0.000600967,0.000600967
7,1558.02,1.44749,1.01516,1.41695,0.75638,0.87216,0.85964,0.57463,1.19394,0.92024,1.31538,0.00058776,0.00058776,0.00058776
8,1790.11,1.42049,0.94367,1.39052,0.83752,0.92644,0.92759,0.61646,1.22043,0.79865,1.35566,0.000574554,0.000574554,0.000574554
9,2004.23,1.4025,0.91142,1.38331,0.85785,0.89561,0.92426,0.62341,1.13368,0.74551,1.31433,0.000561347,0.000561347,0.000561347
10,2213.88,1.36322,0.86389,1.37052,0.79538,0.89972,0.89454,0.59221,1.18805,0.77148,1.35834,0.000548141,0.000548141,0.000548141
11,2449.68,1.35433,0.85121,1.36131,0.84145,0.91504,0.89466,0.61105,1.17195,0.73715,1.32404,0.000534934,0.000534934,0.000534934
12,2698.66,1.32728,0.84276,1.34497,0.85793,0.92138,0.9332,0.63013,1.15444,0.7498,1.32164,0.000521727,0.000521727,0.000521727
13,2921.79,1.29384,0.79873,1.31948,0.87336,0.92412,0.92708,0.65478,1.14921,0.75151,1.30092,0.000508521,0.000508521,0.000508521
14,3102.75,1.30236,0.78826,1.32447,0.8927,0.92083,0.93783,0.61943,1.17351,0.71717,1.30878,0.000495314,0.000495314,0.000495314
15,3347.53,1.25015,0.74236,1.28691,0.86317,0.90232,0.90255,0.62069,1.19673,0.67659,1.37068,0.000482108,0.000482108,0.000482108
16,3570.23,1.27295,0.75563,1.30715,0.89886,0.92217,0.92833,0.64772,1.10303,0.66694,1.29784,0.000468901,0.000468901,0.000468901
17,3765.02,1.25564,0.7232,1.28694,0.88985,0.92744,0.93703,0.65736,1.10225,0.61486,1.28195,0.000455694,0.000455694,0.000455694
18,4007.58,1.24084,0.70954,1.286,0.85198,0.88648,0.90218,0.59028,1.19169,0.74565,1.32218,0.000442488,0.000442488,0.000442488
19,4232.96,1.20396,0.69238,1.26958,0.89844,0.95172,0.9531,0.64974,1.16426,0.64527,1.29304,0.000429281,0.000429281,0.000429281
20,4460.48,1.18813,0.67369,1.25252,0.94569,0.94318,0.96353,0.67796,1.04579,0.57895,1.24278,0.000416075,0.000416075,0.000416075
21,4698.1,1.20089,0.66218,1.24646,0.86341,0.87483,0.9327,0.66233,1.09975,0.6958,1.28575,0.000402868,0.000402868,0.000402868
22,4916.98,1.17664,0.64845,1.24547,0.88325,0.90705,0.93082,0.68643,1.02789,0.67825,1.2599,0.000389661,0.000389661,0.000389661
23,5111.38,1.13899,0.62725,1.22235,0.88226,0.93687,0.92127,0.64881,1.06664,0.60665,1.24961,0.000376455,0.000376455,0.000376455
24,5292.44,1.16271,0.63442,1.24673,0.91171,0.94098,0.93482,0.65636,1.09225,0.56245,1.27568,0.000363248,0.000363248,0.000363248
25,5515.4,1.13089,0.62663,1.22203,0.92398,0.92928,0.94299,0.64901,1.11355,0.57559,1.31943,0.000350042,0.000350042,0.000350042
26,5740.38,1.12437,0.61549,1.21809,0.8872,0.94449,0.92437,0.65536,1.06796,0.58294,1.27563,0.000336835,0.000336835,0.000336835
27,5951.25,1.09567,0.5923,1.19743,0.89052,0.89858,0.90779,0.63008,1.08592,0.63932,1.30695,0.000323628,0.000323628,0.000323628
28,6187.88,1.08137,0.5864,1.20034,0.9406,0.90179,0.93917,0.6592,1.08924,0.61796,1.31268,0.000310422,0.000310422,0.000310422
29,6413.18,1.07521,0.57757,1.19631,0.88396,0.93643,0.93383,0.66983,1.05794,0.58222,1.27792,0.000297215,0.000297215,0.000297215
30,6708.81,1.06322,0.57374,1.18052,0.8733,0.91986,0.94345,0.67484,1.08047,0.58512,1.25101,0.000284009,0.000284009,0.000284009
31,6947.14,1.05508,0.56822,1.17468,0.87749,0.91684,0.91085,0.64421,1.12803,0.57404,1.32267,0.000270802,0.000270802,0.000270802
32,7205.05,1.04715,0.55589,1.18062,0.92974,0.93306,0.9448,0.66189,1.07948,0.58738,1.2728,0.000257595,0.000257595,0.000257595
33,7467.45,0.99557,0.53401,1.13493,0.91335,0.93275,0.95354,0.67652,1.0529,0.53016,1.28368,0.000244389,0.000244389,0.000244389
34,7666.41,1.00358,0.53862,1.15675,0.91781,0.94355,0.94772,0.68397,1.06102,0.52071,1.28621,0.000231182,0.000231182,0.000231182
35,7927.62,0.99387,0.52515,1.14798,0.91984,0.94821,0.93262,0.67587,1.03429,0.55409,1.24445,0.000217976,0.000217976,0.000217976
36,8115.46,0.98637,0.51451,1.12998,0.90388,0.93941,0.9253,0.66177,1.07339,0.55123,1.27448,0.000204769,0.000204769,0.000204769
37,8270.5,0.97532,0.50749,1.13099,0.9457,0.93214,0.95634,0.679,1.05466,0.50312,1.29564,0.000191562,0.000191562,0.000191562
38,8533.72,0.94774,0.50223,1.11478,0.93555,0.93784,0.9454,0.68975,1.01006,0.51155,1.24455,0.000178356,0.000178356,0.000178356
39,8759.13,0.94264,0.49288,1.10418,0.93414,0.94643,0.94789,0.68308,1.03995,0.51347,1.276,0.000165149,0.000165149,0.000165149
40,8976.88,0.91699,0.48573,1.10484,0.93967,0.95396,0.95082,0.67307,1.05673,0.52952,1.29276,0.000151943,0.000151943,0.000151943
41,9198.42,0.86352,0.39467,1.09995,0.94028,0.96071,0.9465,0.68721,1.03682,0.52693,1.28115,0.000138736,0.000138736,0.000138736
42,9424.02,0.84479,0.38391,1.08886,0.94959,0.91696,0.92504,0.67379,1.0284,0.55711,1.28048,0.000125529,0.000125529,0.000125529
43,9689.86,0.83014,0.36979,1.07866,0.89511,0.9391,0.92757,0.68572,1.01188,0.5354,1.2758,0.000112323,0.000112323,0.000112323
44,9875.8,0.81662,0.36636,1.06967,0.89454,0.94368,0.92306,0.68055,1.02981,0.53451,1.2833,9.91162e-05,9.91162e-05,9.91162e-05
45,10063.1,0.80601,0.36146,1.06576,0.91144,0.94643,0.93411,0.68893,1.00346,0.51785,1.29009,8.59096e-05,8.59096e-05,8.59096e-05
46,10265.8,0.77323,0.35123,1.03632,0.94846,0.94328,0.94266,0.69349,1.02777,0.5175,1.29949,7.2703e-05,7.2703e-05,7.2703e-05
47,10470.5,0.75718,0.3407,1.03443,0.94655,0.94102,0.94705,0.70299,1.00049,0.51106,1.29614,5.94964e-05,5.94964e-05,5.94964e-05
48,10648.6,0.75695,0.33912,1.03559,0.92805,0.94643,0.94601,0.69997,1.00407,0.50083,1.30089,4.62898e-05,4.62898e-05,4.62898e-05
49,10819.8,0.7455,0.33678,1.02637,0.92221,0.92986,0.94454,0.70626,0.99698,0.51059,1.29605,3.30832e-05,3.30832e-05,3.30832e-05
50,10957.2,0.7236,0.32999,1.01549,0.91243,0.94102,0.94726,0.70444,0.98775,0.50396,1.29001,1.98766e-05,1.98766e-05,1.98766e-05
