epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,749.654,1.78435,1.60239,1.7279,0.72402,0.51948,0.57543,0.29316,1.82519,1.83407,2.11548,0.000653846,0.000653846,0.000653846
2,1366.04,1.73039,1.29809,1.66582,0.12939,0.20779,0.07569,0.02922,2.80708,7.22016,3.71204,0.00129437,0.00129437,0.00129437
3,2037.03,1.7996,1.34344,1.7437,0.01766,0.57143,0.01401,0.00789,1.78287,inf,2.08628,0.00190849,0.00190849,0.00190849
