epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1003,1.771,2.00113,1.37932,0.86818,0.58442,0.71804,0.35523,1.48101,2.11141,1.24926,0.000653846,0.000653846,0.000653846
2,17.2905,1.70295,1.44145,1.34281,0.85188,0.74695,0.87489,0.44316,1.51989,1.37822,1.28729,0.00129437,0.00129437,0.00129437
3,24.2548,1.68488,1.31482,1.3745,0.88157,0.75325,0.85483,0.42686,1.65068,1.16882,1.48121,0.00190849,0.00190849,0.00190849
4,31.1043,1.70725,1.30708,1.38085,0.89808,0.67532,0.79565,0.46057,1.48671,1.16427,1.35532,0.0018812,0.0018812,0.0018812
5,38.081,1.63015,1.13627,1.33538,0.83357,0.84562,0.92504,0.56515,1.34506,0.9521,1.22633,0.0018416,0.0018416,0.0018416
6,45.0649,1.62099,1.11659,1.34066,0.9138,0.76623,0.91439,0.5467,1.37937,0.96461,1.27688,0.001802,0.001802,0.001802
7,51.9679,1.60025,1.0859,1.33592,0.90639,0.88029,0.94693,0.59542,1.28564,0.83074,1.21031,0.0017624,0.0017624,0.0017624
8,58.8954,1.54377,0.98616,1.29824,0.82973,0.82275,0.88766,0.5384,1.33784,0.89965,1.27761,0.0017228,0.0017228,0.0017228
9,66.0728,1.54926,0.97286,1.29858,0.97012,0.84331,0.94685,0.59381,1.19971,0.78876,1.1958,0.0016832,0.0016832,0.0016832
10,74.0288,1.50712,0.93455,1.2784,0.93201,0.87013,0.9629,0.61491,1.24272,0.7265,1.21368,0.0016436,0.0016436,0.0016436
11,80.9554,1.49237,0.92785,1.26695,0.90195,0.83629,0.91735,0.53547,1.36357,0.84505,1.2881,0.001604,0.001604,0.001604
12,87.8558,1.49958,0.89762,1.28275,0.93202,0.8961,0.96325,0.62119,1.22394,0.67929,1.20473,0.0015644,0.0015644,0.0015644
13,94.8203,1.4563,0.86919,1.2411,0.89834,0.91815,0.96739,0.66598,1.16794,0.68028,1.15731,0.0015248,0.0015248,0.0015248
14,101.866,1.45071,0.85319,1.24901,0.92481,0.95842,0.97022,0.67348,1.12991,0.63544,1.13672,0.0014852,0.0014852,0.0014852
15,109.102,1.4383,0.82283,1.23663,0.95258,0.90909,0.97514,0.62636,1.27108,0.68124,1.21928,0.0014456,0.0014456,0.0014456
16,116.201,1.44015,0.82972,1.24455,0.88801,0.9268,0.97033,0.62607,1.20762,0.69912,1.18864,0.001406,0.001406,0.001406
17,123.183,1.42481,0.79947,1.2293,0.92165,0.94805,0.97689,0.67763,1.12273,0.5848,1.13929,0.0013664,0.0013664,0.0013664
18,130.155,1.40212,0.78644,1.22217,0.93761,0.92208,0.97452,0.64615,1.20038,0.62577,1.18903,0.0013268,0.0013268,0.0013268
19,137.469,1.38501,0.77909,1.20934,0.86788,0.94805,0.94796,0.64291,1.186,0.71821,1.15461,0.0012872,0.0012872,0.0012872
20,145.122,1.36764,0.76991,1.20202,0.88889,0.97403,0.97604,0.65954,1.18104,0.58619,1.13898,0.0012476,0.0012476,0.0012476
21,152.839,1.38474,0.76262,1.19453,0.93572,0.94524,0.97776,0.68896,1.11147,0.59664,1.11929,0.001208,0.001208,0.001208
22,160.246,1.36477,0.75102,1.19826,0.97781,0.94805,0.97989,0.62632,1.19759,0.61279,1.17902,0.0011684,0.0011684,0.0011684
23,167.687,1.33095,0.72223,1.18593,0.94433,0.8961,0.973,0.69798,1.06534,0.55552,1.11024,0.0011288,0.0011288,0.0011288
24,175.198,1.34159,0.73207,1.18692,0.96479,0.94805,0.9841,0.63523,1.15707,0.57287,1.15938,0.0010892,0.0010892,0.0010892
25,182.759,1.33388,0.73664,1.18633,0.9763,0.92208,0.9743,0.66021,1.19209,0.60216,1.16068,0.0010496,0.0010496,0.0010496
26,190.208,1.32163,0.70266,1.17843,0.95031,0.92208,0.9807,0.62953,1.20644,0.57301,1.19084,0.00101,0.00101,0.00101
27,197.797,1.307,0.69843,1.16923,0.9358,0.94661,0.98442,0.65714,1.18018,0.54155,1.16179,0.0009704,0.0009704,0.0009704
28,205.192,1.28487,0.69407,1.17321,0.96052,0.94797,0.98277,0.64537,1.17292,0.57032,1.16908,0.0009308,0.0009308,0.0009308
29,212.856,1.28545,0.68516,1.16086,0.97327,0.94591,0.98518,0.68476,1.09743,0.53447,1.11277,0.0008912,0.0008912,0.0008912
30,220.237,1.27896,0.69523,1.15681,1,0.9195,0.98277,0.67944,1.08784,0.53188,1.12112,0.0008516,0.0008516,0.0008516
31,227.325,1.26948,0.67053,1.14903,0.91262,0.97403,0.97989,0.69435,1.06182,0.53218,1.10373,0.000812,0.000812,0.000812
32,234.29,1.25976,0.66451,1.15236,0.94322,0.97403,0.98507,0.69893,1.07379,0.51807,1.11497,0.0007724,0.0007724,0.0007724
33,241.266,1.21801,0.64671,1.12437,0.974,0.97311,0.98465,0.68012,1.0832,0.5248,1.11719,0.0007328,0.0007328,0.0007328
34,248.201,1.24269,0.66022,1.15019,0.96097,0.94805,0.98603,0.67167,1.15765,0.52797,1.16957,0.0006932,0.0006932,0.0006932
35,255.082,1.21774,0.64618,1.14073,0.94881,0.96298,0.9826,0.66876,1.11691,0.52465,1.14334,0.0006536,0.0006536,0.0006536
36,262.007,1.21802,0.64306,1.12556,0.9514,0.94805,0.98117,0.66957,1.08101,0.51601,1.12166,0.000614,0.000614,0.000614
37,268.888,1.22114,0.63601,1.13605,0.97346,0.97403,0.98712,0.66071,1.15995,0.51055,1.15149,0.0005744,0.0005744,0.0005744
38,275.721,1.1845,0.61948,1.11278,0.97398,0.97245,0.98785,0.69875,1.06858,0.50137,1.11734,0.0005348,0.0005348,0.0005348
39,282.632,1.20388,0.62671,1.12023,0.94909,0.96841,0.98387,0.67897,1.07715,0.50985,1.13217,0.0004952,0.0004952,0.0004952
40,289.518,1.17477,0.61238,1.11245,0.97052,0.97403,0.98683,0.6717,1.12311,0.51724,1.1279,0.0004556,0.0004556,0.0004556
41,328.205,1.12793,0.54682,1.09172,0.95156,0.96104,0.98524,0.68927,1.06307,0.49578,1.12513,0.000416,0.000416,0.000416
42,335.048,1.10012,0.52916,1.08361,0.9736,0.95799,0.98722,0.69846,1.03621,0.479,1.10363,0.0003764,0.0003764,0.0003764
43,341.823,1.0811,0.50941,1.07633,0.97256,0.94805,0.98471,0.71642,1.01018,0.47705,1.08671,0.0003368,0.0003368,0.0003368
44,348.577,1.07155,0.5106,1.06742,0.97828,0.94805,0.98666,0.69548,1.05274,0.4821,1.1141,0.0002972,0.0002972,0.0002972
45,355.412,1.06145,0.50324,1.06369,0.97114,0.96104,0.98815,0.71301,1.01705,0.47916,1.09305,0.0002576,0.0002576,0.0002576
46,362.174,1.05263,0.49781,1.05933,0.98435,0.94805,0.98584,0.69752,0.99924,0.47255,1.08363,0.000218,0.000218,0.000218
47,368.938,1.03276,0.48693,1.04991,0.96926,0.94805,0.98575,0.70421,1.01597,0.46704,1.10584,0.0001784,0.0001784,0.0001784
48,375.7,1.04115,0.4877,1.05764,0.97307,0.94805,0.9862,0.69456,1.02655,0.46398,1.11174,0.0001388,0.0001388,0.0001388
49,382.466,1.01563,0.481,1.04524,0.98012,0.94805,0.98648,0.7041,1.02444,0.4619,1.10535,9.92e-05,9.92e-05,9.92e-05
50,389.194,1.0007,0.47602,1.03517,0.97263,0.94805,0.98657,0.70043,1.0201,0.45634,1.1084,5.96e-05,5.96e-05,5.96e-05
