epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.462,1.50674,2.37387,1.39727,0.82149,0.72733,0.85212,0.57344,1.27645,1.05971,1.37576,0.000218058,0.000218058,0.000218058
2,50.6226,1.27666,1.07424,1.23458,0.82965,0.90513,0.90878,0.59749,1.2534,0.86784,1.32707,0.000431671,0.000431671,0.000431671
3,73.4761,1.22908,0.92941,1.20595,0.7958,0.83019,0.8588,0.5759,1.22987,0.87355,1.3152,0.00063648,0.00063648,0.00063648
4,96.1938,1.21178,0.91551,1.2249,0.86313,0.87417,0.9143,0.59367,1.18808,0.82264,1.26086,0.00062738,0.00062738,0.00062738
5,118.928,1.13611,0.82892,1.17157,0.87339,0.79469,0.90947,0.60089,1.14614,0.80373,1.2927,0.000614174,0.000614174,0.000614174
6,142.357,1.11138,0.77885,1.15903,0.794,0.91234,0.90509,0.62807,1.10687,0.76452,1.2513,0.000600967,0.000600967,0.000600967
7,165.233,1.0785,0.76061,1.1477,0.88686,0.85662,0.8968,0.62692,1.12567,0.74927,1.28435,0.00058776,0.00058776,0.00058776
8,187.901,1.02787,0.70402,1.11047,0.88366,0.90021,0.91117,0.61216,1.14779,0.71554,1.2846,0.000574554,0.000574554,0.000574554
9,210.622,1.01472,0.6744,1.11578,0.87591,0.92208,0.91739,0.65219,1.06971,0.71953,1.22704,0.000561347,0.000561347,0.000561347
10,233.445,0.99226,0.66752,1.10025,0.84638,0.92869,0.93891,0.66794,1.06233,0.64319,1.24034,0.000548141,0.000548141,0.000548141
11,256.278,0.96731,0.63667,1.09199,0.83992,0.92251,0.9125,0.64185,1.07997,0.62912,1.26101,0.000534934,0.000534934,0.000534934
12,278.995,0.93267,0.60097,1.0722,0.88956,0.91422,0.94301,0.68774,1.05187,0.61528,1.25065,0.000521727,0.000521727,0.000521727
13,301.784,0.91692,0.59947,1.06953,0.87267,0.90688,0.92053,0.64211,1.07759,0.63208,1.24855,0.000508521,0.000508521,0.000508521
14,324.402,0.89204,0.57652,1.051,0.88291,0.94162,0.93068,0.66318,1.07367,0.61842,1.25368,0.000495314,0.000495314,0.000495314
15,347.288,0.87555,0.56207,1.03925,0.90331,0.93214,0.92846,0.67146,1.0741,0.59195,1.26233,0.000482108,0.000482108,0.000482108
16,369.917,0.84934,0.54196,1.02932,0.89184,0.91364,0.91809,0.69223,0.9857,0.58209,1.1747,0.000468901,0.000468901,0.000468901
17,392.838,0.82118,0.52923,1.01468,0.89712,0.92229,0.92245,0.65425,1.04934,0.5625,1.23538,0.000455694,0.000455694,0.000455694
18,415.433,0.81171,0.51368,1.0095,0.90848,0.91786,0.92554,0.66649,0.98233,0.57902,1.22108,0.000442488,0.000442488,0.000442488
