epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.955,0.87755,0.46972,1.08417,0.92973,0.93703,0.94871,0.69301,1.03051,0.53347,1.30309,0.000218058,0.000218058,0.000218058
2,537.387,0.94923,0.52034,1.11434,0.90222,0.93741,0.92369,0.67026,1.06774,0.56919,1.29233,0.000431671,0.000431671,0.000431671
3,745.46,1.03696,0.59305,1.16871,0.89906,0.87539,0.90806,0.61918,1.13944,0.76252,1.34509,0.00063648,0.00063648,0.00063648
4,946.026,1.09409,0.63309,1.19505,0.86752,0.89357,0.90882,0.629,1.10543,0.64158,1.32215,0.00062738,0.00062738,0.00062738
5,1176.93,1.07285,0.63028,1.19108,0.91495,0.92151,0.95153,0.64809,1.11734,0.6102,1.33625,0.000614174,0.000614174,0.000614174
6,1458.39,1.05254,0.63376,1.17469,0.89917,0.92122,0.92459,0.63342,1.12909,0.64977,1.31839,0.000600967,0.000600967,0.000600967
