epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.51341,1.62999,3.80949,1.68423,0.00794,1,0.50154,0.35149,0.92594,3.06119,0.90834,0,0,0
2,5.21927,1.10894,3.28562,1.17079,0.00779,1,0.50202,0.35187,0.93619,3.05722,0.90973,1.63399e-05,1.63399e-05,1.63399e-05
3,5.99426,1.15399,3.40371,1.16675,0.00766,1,0.62187,0.37555,0.95797,3.05054,0.90996,3.20197e-05,3.20197e-05,3.20197e-05
4,6.45894,1.37024,3.24406,1.27211,0.00758,1,0.66333,0.43117,0.98035,3.04267,0.90855,4.70394e-05,4.70394e-05,4.70394e-05
5,7.10824,1.61295,3.34261,1.56621,0.0075,1,0.995,0.597,0.95207,3.04218,0.90625,6.13989e-05,6.13989e-05,6.13989e-05
6,7.69851,1.09038,3.36184,1.12522,0.00733,1,0.995,0.6965,0.99577,2.99603,0.9173,7.50984e-05,7.50984e-05,7.50984e-05
7,8.30613,1.1272,3.28209,1.2804,0.00718,1,0.995,0.74625,0.98628,2.82045,0.89612,8.81376e-05,8.81376e-05,8.81376e-05
8,8.89379,1.20046,3.69825,1.18938,0.00715,1,0.995,0.84575,0.90835,2.78064,0.87775,0.000100517,0.000100517,0.000100517
9,9.55098,1.3632,4.35241,1.26792,0.00701,1,0.995,0.796,0.84216,2.77044,0.86904,0.000112236,0.000112236,0.000112236
10,10.0901,1.19662,3.32025,1.23369,0.00683,1,0.995,0.796,0.82251,2.76574,0.85953,0.000123295,0.000123295,0.000123295
11,10.6683,1.22254,3.13087,1.25803,0.00678,1,0.74625,0.597,0.78738,2.78413,0.84572,0.000133693,0.000133693,0.000133693
12,11.2369,1.06321,2.84365,1.31767,0.00676,1,0.74625,0.64675,0.74815,2.73317,0.8293,0.000143432,0.000143432,0.000143432
13,11.7947,1.01207,2.53213,1.20958,0.00671,1,0.74625,0.62187,0.75314,2.69934,0.82919,0.00015251,0.00015251,0.00015251
14,12.3671,0.97487,2.79339,1.12724,0.00667,1,0.74625,0.62187,0.77991,2.65446,0.83121,0.000160929,0.000160929,0.000160929
15,12.9334,1.05115,2.49382,1.18631,0.00667,1,0.74625,0.62187,0.73745,2.63729,0.81904,0.000168687,0.000168687,0.000168687
16,13.5834,0.97976,2.62323,1.10884,0.00667,1,0.74625,0.64675,0.67958,2.64654,0.81886,0.000175785,0.000175785,0.000175785
17,14.1319,0.8071,2.19769,1.07134,0.00667,1,0.74625,0.62187,0.612,2.65134,0.81298,0.000182223,0.000182223,0.000182223
18,14.643,1.31012,2.54614,1.25478,0.00667,1,0.74625,0.62187,0.612,2.65134,0.81298,0.000188001,0.000188001,0.000188001
19,15.196,1.00201,2.1953,1.05888,0.00667,1,0.74625,0.64675,0.59732,2.54387,0.82848,0.000193119,0.000193119,0.000193119
20,15.7372,0.74986,1.6491,0.96698,0.00667,1,0.74625,0.64675,0.59732,2.54387,0.82848,0.000197576,0.000197576,0.000197576
21,16.2993,0.81255,2.05407,1.06253,0.00667,1,0.74625,0.64675,0.58941,2.47952,0.82915,0.000201374,0.000201374,0.000201374
22,16.8514,0.65171,1.5835,0.8669,0.00667,1,0.74625,0.64675,0.58941,2.47952,0.82915,0.000204511,0.000204511,0.000204511
23,17.413,0.76875,2.16687,1.02092,0.00667,1,0.74625,0.67163,0.65488,2.46528,0.84303,0.000206988,0.000206988,0.000206988
24,17.974,0.72026,1.45182,0.93923,0.00667,1,0.74625,0.67163,0.65488,2.46528,0.84303,0.000208805,0.000208805,0.000208805
25,18.5783,0.59194,2.86005,0.94666,0.00667,1,0.74625,0.67163,0.76939,2.51832,0.86823,0.000209962,0.000209962,0.000209962
26,19.2027,0.86938,1.86714,1.16613,0.00667,1,0.74625,0.67163,0.76939,2.51832,0.86823,0.000210459,0.000210459,0.000210459
27,19.7606,0.74692,1.94229,0.9781,0.00667,1,0.74625,0.67163,0.84626,2.56068,0.88842,0.000210295,0.000210295,0.000210295
28,20.2747,0.71878,1.62914,0.99955,0.00667,1,0.74625,0.67163,0.84626,2.56068,0.88842,0.000209472,0.000209472,0.000209472
29,20.8318,0.68253,1.40721,0.97712,0.00667,1,0.74625,0.64675,0.91981,2.59238,0.90421,0.000207988,0.000207988,0.000207988
30,21.3566,0.96788,1.92431,1.2152,0.00667,1,0.74625,0.64675,0.91981,2.59238,0.90421,0.000205844,0.000205844,0.000205844
31,21.9301,0.91138,1.84758,1.15747,0.00668,1,0.74625,0.64675,0.93463,2.6356,0.91616,0.000203041,0.000203041,0.000203041
32,22.5353,0.80604,1.6034,1.03526,0.00668,1,0.74625,0.64675,0.93463,2.6356,0.91616,0.000199577,0.000199577,0.000199577
33,23.0719,0.85643,1.55268,1.04071,0.00667,1,0.66333,0.58042,0.96453,2.6568,0.94753,0.000195452,0.000195452,0.000195452
34,23.5832,0.79689,1.43753,1.09822,0.00667,1,0.66333,0.58042,0.96453,2.6568,0.94753,0.000190668,0.000190668,0.000190668
35,24.1187,0.6302,1.44348,0.9331,0.0067,1,0.597,0.5174,0.90879,2.68828,0.95436,0.000185224,0.000185224,0.000185224
36,24.6333,0.73318,1.40147,0.94784,0.0067,1,0.597,0.5174,0.90879,2.68828,0.95436,0.000179119,0.000179119,0.000179119
37,25.1662,0.81753,1.54753,1.03364,0.00669,1,0.597,0.5174,0.86055,2.6761,0.92998,0.000172354,0.000172354,0.000172354
38,25.7032,0.62285,1.64152,0.83205,0.00669,1,0.597,0.5174,0.86055,2.6761,0.92998,0.00016493,0.00016493,0.00016493
39,26.2487,1.11565,1.69957,1.23338,0.00668,1,0.597,0.5174,0.82992,2.67579,0.91481,0.000156845,0.000156845,0.000156845
40,26.8012,0.83694,1.85606,0.88031,0.00668,1,0.597,0.5174,0.82992,2.67579,0.91481,0.0001481,0.0001481,0.0001481
41,34.8584,0.49676,1.29134,0.81977,0.00668,1,0.56857,0.4975,0.76424,2.69024,0.88234,0.000138694,0.000138694,0.000138694
42,35.4369,0.43686,1.47773,0.84886,0.00668,1,0.56857,0.4975,0.76424,2.69024,0.88234,0.000128629,0.000128629,0.000128629
43,35.9809,0.49515,1.3695,0.85116,0.00669,1,0.597,0.52735,0.69784,2.65934,0.84202,0.000117904,0.000117904,0.000117904
44,36.4951,0.58481,1.6035,0.80567,0.00669,1,0.597,0.52735,0.69784,2.65934,0.84202,0.000106518,0.000106518,0.000106518
45,37.038,0.42218,1.54215,0.81419,0.00667,1,0.58042,0.51408,0.65938,2.63752,0.82191,9.44722e-05,9.44722e-05,9.44722e-05
46,37.5548,0.35837,1.37749,0.81916,0.00667,1,0.58042,0.51408,0.65938,2.63752,0.82191,8.17663e-05,8.17663e-05,8.17663e-05
47,38.1976,0.38798,1.34126,0.78266,0.00667,1,0.58042,0.51408,0.63253,2.57517,0.80561,6.84003e-05,6.84003e-05,6.84003e-05
48,38.7026,0.37893,1.24773,0.74247,0.00667,1,0.58042,0.51408,0.63253,2.57517,0.80561,5.43742e-05,5.43742e-05,5.43742e-05
49,39.2959,0.47519,1.44882,0.79869,0.00667,1,0.597,0.52735,0.61441,2.54993,0.79499,3.96879e-05,3.96879e-05,3.96879e-05
50,39.8311,0.35196,1.38573,0.85498,0.00667,1,0.597,0.52735,0.61441,2.54993,0.79499,2.43415e-05,2.43415e-05,2.43415e-05
