epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5159,1.7819,1.4786,1.56189,0.74528,0.77922,0.81751,0.46475,1.39729,1.91081,1.49716,0.000653846,0.000653846,0.000653846
2,49.5162,1.72784,1.17436,1.55412,0.12191,0.45455,0.09,0.0414,1.87619,23.7619,2.00993,0.00129437,0.00129437,0.00129437
3,72.2585,1.73322,1.19096,1.57444,0.73683,0.63636,0.73937,0.40074,1.66475,2.07309,1.72079,0.00190849,0.00190849,0.00190849
4,94.9083,1.7594,1.2814,1.58489,0.78114,0.72727,0.82539,0.44231,1.53728,1.55249,1.65274,0.0018812,0.0018812,0.0018812
5,117.801,1.63454,1.0128,1.50264,0.77748,0.81678,0.85955,0.49666,1.5495,0.8785,1.63903,0.0018416,0.0018416,0.0018416
6,140.634,1.63865,1.03424,1.50385,0.97552,0.83117,0.93749,0.58997,1.29624,0.79094,1.35427,0.001802,0.001802,0.001802
7,163.393,1.60389,1.00247,1.49282,0.82712,0.88312,0.9026,0.57591,1.29253,0.84379,1.36612,0.0017624,0.0017624,0.0017624
8,186.011,1.5542,0.91643,1.45231,0.87598,0.92208,0.95242,0.56841,1.31788,0.80867,1.37947,0.0017228,0.0017228,0.0017228
9,208.604,1.53942,0.89169,1.43319,0.86163,0.84416,0.89327,0.54357,1.36387,0.79868,1.43021,0.0016832,0.0016832,0.0016832
10,231.209,1.50451,0.85995,1.42233,0.83072,0.82856,0.88752,0.55539,1.35639,0.81394,1.45203,0.0016436,0.0016436,0.0016436
11,253.762,1.48291,0.85118,1.39372,0.91581,0.8961,0.96233,0.63028,1.25933,0.62978,1.32698,0.001604,0.001604,0.001604
12,276.541,1.47402,0.80914,1.39767,0.83972,0.88454,0.92577,0.59988,1.27901,0.70043,1.36673,0.0015644,0.0015644,0.0015644
13,299.291,1.44249,0.80826,1.37208,0.89055,0.8961,0.96225,0.64606,1.16354,0.61663,1.30171,0.0015248,0.0015248,0.0015248
14,321.996,1.43007,0.78854,1.36177,0.94101,0.94805,0.97348,0.64802,1.14339,0.61025,1.2587,0.0014852,0.0014852,0.0014852
15,344.739,1.40629,0.757,1.34286,0.92231,0.8961,0.95865,0.63856,1.14446,0.63066,1.27024,0.0014456,0.0014456,0.0014456
16,367.3,1.39386,0.74314,1.34512,0.92366,0.98701,0.98497,0.67378,1.15687,0.56063,1.25414,0.001406,0.001406,0.001406
17,391.708,1.38697,0.72554,1.32981,0.87565,0.90909,0.96426,0.65399,1.16696,0.59341,1.25533,0.0013664,0.0013664,0.0013664
18,417.144,1.35365,0.72045,1.32004,0.94559,0.93506,0.98244,0.65937,1.13506,0.5349,1.27867,0.0013268,0.0013268,0.0013268
