epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.33396,1.59817,3.83718,1.77584,0.01005,1,0.01221,0.00915,1.04787,3.6343,1.60785,0,0,0
2,8.50829,1.18126,4.06287,1.55031,0.01012,1,0.01221,0.00915,1.04679,3.62448,1.59316,1.40071e-05,1.40071e-05,1.40071e-05
3,9.96198,1.28732,4.12072,1.49102,0.01008,1,0.01199,0.00899,1.045,3.61744,1.58402,2.74482e-05,2.74482e-05,2.74482e-05
4,11.2181,1.05549,3.93467,1.58721,0.00995,1,0.01192,0.00893,1.04132,3.61967,1.57335,4.03235e-05,4.03235e-05,4.03235e-05
5,12.5171,1.36727,4.19604,1.85845,0.00998,1,0.01144,0.00857,1.04001,3.62469,1.55795,5.26329e-05,5.26329e-05,5.26329e-05
6,13.9327,0.94113,3.78136,1.20831,0.66954,0.5,0.995,0.84575,0.96106,1.74432,1.58934,6.43764e-05,6.43764e-05,6.43764e-05
7,17.0208,1.08038,2.77501,1.4847,0.98488,0.5,0.74625,0.32172,1.16608,2.56953,1.80443,7.55541e-05,7.55541e-05,7.55541e-05
8,19.7169,1.34767,3.39696,1.78744,0.98475,0.5,0.74625,0.29352,1.19023,2.59839,1.83604,8.61658e-05,8.61658e-05,8.61658e-05
9,22.2619,0.95497,3.91802,1.2266,0.95234,0.5,0.5054,0.07393,1.66836,3.83192,2.41899,9.62117e-05,9.62117e-05,9.62117e-05
10,24.7914,1.39522,2.67229,1.72255,0.07958,0.5,0.10727,0.0221,1.68926,23.697,2.47908,0.000105692,0.000105692,0.000105692
11,27.3605,0.86944,2.44694,1.33963,0.02717,1,0.03105,0.02014,1.3943,88.0417,2.2718,0.000114606,0.000114606,0.000114606
12,30.1042,0.97047,1.99736,1.36937,0.02073,1,0.02321,0.01396,0.97422,139.01,1.26153,0.000122954,0.000122954,0.000122954
13,32.664,1.29199,2.07686,1.67558,0.02102,1,0.02416,0.02024,0.92291,223.15,1.24805,0.000130736,0.000130736,0.000130736
14,35.2528,1.19594,3.40176,1.36457,0.02222,1,0.02472,0.02058,0.91397,162.416,1.2494,0.000137953,0.000137953,0.000137953
15,37.9609,0.794,2.04099,1.23719,0.01923,0.5,0.50136,0.49981,0.92523,403.469,1.32452,0.000144603,0.000144603,0.000144603
16,40.2976,1.50872,1.99047,1.52082,0.5,0.5,0.50124,0.44962,0.93906,341.483,1.28462,0.000150688,0.000150688,0.000150688
17,42.8488,0.9151,1.70454,1.25611,0.04656,0.5,0.06671,0.05823,1.27015,81.8971,1.34775,0.000156207,0.000156207,0.000156207
18,45.3045,1.06704,3.51084,1.32791,0.04656,0.5,0.06671,0.05823,1.27015,81.8971,1.34775,0.00016116,0.00016116,0.00016116
19,47.8823,0.8429,2.36071,1.16349,0.04146,0.5,0.08844,0.05859,1.03165,10.5252,1.35498,0.000165547,0.000165547,0.000165547
20,50.3664,0.66148,0.94692,0.99929,0.04146,0.5,0.08844,0.05859,1.03165,10.5252,1.35498,0.000169368,0.000169368,0.000169368
21,52.7666,0.79774,1.52884,1.12622,1,0.5,0.55278,0.43117,1.0176,3.66507,1.51934,0.000172623,0.000172623,0.000172623
22,55.3069,0.66707,1.25676,1.02135,1,0.5,0.55278,0.43117,1.0176,3.66507,1.51934,0.000175313,0.000175313,0.000175313
23,57.8298,0.9603,2.4777,1.26485,0.64241,1,0.74625,0.54725,0.98961,1.54063,1.42052,0.000177436,0.000177436,0.000177436
24,60.276,0.67,1.41711,1.09653,0.64241,1,0.74625,0.54725,0.98961,1.54063,1.42052,0.000178994,0.000178994,0.000178994
25,62.9091,0.77935,1.84466,1.29563,0.91501,1,0.995,0.796,0.90718,0.98695,1.23979,0.000179985,0.000179985,0.000179985
26,65.3791,0.77504,1.41502,1.19707,0.91501,1,0.995,0.796,0.90718,0.98695,1.23979,0.000180411,0.000180411,0.000180411
27,67.8624,0.90456,1.97767,1.22272,0.53499,1,0.56857,0.40511,1.02174,3.64645,1.36205,0.000180271,0.000180271,0.000180271
28,70.6231,0.71331,1.61737,1.09793,0.53499,1,0.56857,0.40511,1.02174,3.64645,1.36205,0.000179565,0.000179565,0.000179565
29,73.3945,0.75444,1.24012,1.09676,0.50948,1,0.995,0.796,0.9029,6.34735,1.39012,0.000178293,0.000178293,0.000178293
30,75.7642,0.81909,1.93907,1.27901,0.50948,1,0.995,0.796,0.9029,6.34735,1.39012,0.000176456,0.000176456,0.000176456
31,78.1642,0.81136,1.32068,1.32308,0.70109,1,0.995,0.84575,0.80898,2.08101,1.23479,0.000174052,0.000174052,0.000174052
32,81.1272,0.77806,1.4207,1.15726,0.70109,1,0.995,0.84575,0.80898,2.08101,1.23479,0.000171083,0.000171083,0.000171083
33,84.1582,0.88539,1.03363,1.31769,0.40182,0.78701,0.56857,0.46196,0.8599,2.00698,1.20782,0.000167547,0.000167547,0.000167547
34,86.5328,1.04004,1.22846,1.33454,0.40182,0.78701,0.56857,0.46196,0.8599,2.00698,1.20782,0.000163446,0.000163446,0.000163446
35,88.8741,0.59319,1.01834,0.95492,0.49133,1,0.5174,0.25892,0.98553,18.8118,1.28059,0.000158779,0.000158779,0.000158779
36,91.3067,0.5408,1.63852,1.04664,0.49133,1,0.5174,0.25892,0.98553,18.8118,1.28059,0.000153546,0.000153546,0.000153546
37,93.7524,0.66046,1.32995,1.06978,0.47546,0.5,0.50248,0.25273,1.01857,40.5974,1.36403,0.000147747,0.000147747,0.000147747
38,96.1291,0.6956,1.15463,0.87008,0.47546,0.5,0.50248,0.25273,1.01857,40.5974,1.36403,0.000141382,0.000141382,0.000141382
39,98.9734,0.92784,1.24505,1.03773,0.48885,1,0.50566,0.20436,1.36609,94.1007,1.60885,0.000134452,0.000134452,0.000134452
40,101.398,0.5822,1.33853,0.84305,0.48885,1,0.50566,0.20436,1.36609,94.1007,1.60885,0.000126955,0.000126955,0.000126955
41,114.568,0.65484,1.48606,1.0104,0.45783,1,0.50515,0.20393,1.69066,117.971,1.90495,0.000118893,0.000118893,0.000118893
42,116.958,0.8144,1.43672,1.45161,0.45783,1,0.50515,0.20393,1.69066,117.971,1.90495,0.000110264,0.000110264,0.000110264
43,119.415,0.55898,0.88697,1.02406,0.46073,0.5,0.50422,0.20438,1.40175,115.564,1.71941,0.00010107,0.00010107,0.00010107
44,121.893,0.40567,0.76887,0.83406,0.46073,0.5,0.50422,0.20438,1.40175,115.564,1.71941,9.13102e-05,9.13102e-05,9.13102e-05
45,124.343,0.53295,0.94403,0.98024,0.44847,0.5,0.50638,0.207,1.37437,63.7413,1.73965,8.09843e-05,8.09843e-05,8.09843e-05
46,126.712,0.46819,0.93472,1.04649,0.44847,0.5,0.50638,0.207,1.37437,63.7413,1.73965,7.00924e-05,7.00924e-05,7.00924e-05
47,129.216,0.56807,0.9314,1.10956,0.48318,1,0.50671,0.20729,1.28319,47.1321,1.63072,5.86347e-05,5.86347e-05,5.86347e-05
48,131.578,0.58247,0.77074,1.02952,0.48318,1,0.50671,0.20729,1.28319,47.1321,1.63072,4.66111e-05,4.66111e-05,4.66111e-05
49,133.969,0.37386,0.69402,0.91303,0.48867,1,0.50881,0.20918,1.26476,30.3251,1.60708,3.40216e-05,3.40216e-05,3.40216e-05
50,136.535,0.49567,0.70421,1.03682,0.48867,1,0.50881,0.20918,1.26476,30.3251,1.60708,2.08663e-05,2.08663e-05,2.08663e-05
