epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.251,1.76027,1.73547,1.6286,0.20581,0.1354,0.05554,0.02179,2.67345,35.3618,3.49346,0.000544981,0.000544981,0.000544981
2,563.929,1.76147,1.32888,1.64109,0.0246,0.04375,0.00424,0.00217,3.63915,inf,17.2744,0.00107885,0.00107885,0.00107885
3,790.318,1.80349,1.38795,1.68973,0.00144,0.06676,0.00077,0.00021,4.64576,inf,23.4601,0.00159072,0.00159072,0.00159072
4,1090.89,1.81207,1.43174,1.69535,0.23526,0.21046,0.11455,0.04421,3.71145,10.2073,10.5997,0.00156798,0.00156798,0.00156798
5,1289.36,1.71838,1.18852,1.6255,0.68739,0.45637,0.56892,0.24316,1.57389,4.66526,1.85122,0.00153497,0.00153497,0.00153497
6,1538.13,1.63802,1.07835,1.56626,0.67488,0.60613,0.65906,0.32703,2.03675,2.81521,2.11619,0.00150197,0.00150197,0.00150197
7,1791.61,1.6091,1.04595,1.55358,0.69359,0.54784,0.57653,0.27093,1.48552,2.22901,1.71375,0.00146896,0.00146896,0.00146896
8,2036.51,1.57067,0.96825,1.51443,0.73161,0.73473,0.7492,0.3775,1.27289,1.01296,1.5465,0.00143595,0.00143595,0.00143595
9,2305.31,1.53029,0.92476,1.48612,0.82502,0.60685,0.70395,0.37003,1.40661,1.34819,1.61567,0.00140295,0.00140295,0.00140295
10,2543.73,1.51549,0.87843,1.47724,0.72517,0.70454,0.74757,0.41851,1.52343,1.53786,1.65269,0.00136994,0.00136994,0.00136994
11,2828,1.4914,0.85518,1.44599,0.81007,0.72443,0.76467,0.41127,1.17119,0.77777,1.44902,0.00133693,0.00133693,0.00133693
12,3081.79,1.47328,0.83766,1.44762,0.78962,0.75055,0.80106,0.4289,1.13017,0.94597,1.42968,0.00130393,0.00130393,0.00130393
13,3286.65,1.44033,0.82845,1.42676,0.9006,0.74655,0.83666,0.46167,1.18879,0.75966,1.42024,0.00127092,0.00127092,0.00127092
14,3532.07,1.43207,0.80516,1.41202,0.8785,0.69983,0.79942,0.47221,1.20441,0.89037,1.42262,0.00123791,0.00123791,0.00123791
15,3799.37,1.39724,0.77296,1.38919,0.8639,0.74453,0.81969,0.48144,1.07825,0.74866,1.39303,0.00120491,0.00120491,0.00120491
16,4110.41,1.38619,0.76376,1.39014,0.85494,0.66787,0.77833,0.45173,1.12176,0.79527,1.41138,0.0011719,0.0011719,0.0011719
17,4334.33,1.38444,0.75161,1.38367,0.7968,0.76443,0.80813,0.46787,1.08614,1.14304,1.33201,0.00113889,0.00113889,0.00113889
18,4549.54,1.36883,0.73817,1.38654,0.88793,0.7387,0.81582,0.48281,1.21787,0.81261,1.41985,0.00110589,0.00110589,0.00110589
19,4822.76,1.36004,0.72161,1.38011,0.85218,0.70887,0.79724,0.47278,1.18625,0.788,1.42107,0.00107288,0.00107288,0.00107288
20,5096.31,1.31888,0.69994,1.34498,0.80698,0.77252,0.79309,0.46828,1.26306,0.7063,1.44953,0.00103987,0.00103987,0.00103987
21,5345.96,1.33185,0.69169,1.34222,0.9095,0.80107,0.86356,0.52473,1.08132,0.65083,1.34736,0.00100687,0.00100687,0.00100687
22,5575.99,1.30945,0.67203,1.34257,0.87306,0.77936,0.80781,0.47604,1.10331,0.74329,1.44221,0.000973861,0.000973861,0.000973861
23,5814.07,1.27343,0.65208,1.31651,0.84323,0.78222,0.82218,0.49411,1.08116,0.67613,1.36478,0.000940855,0.000940855,0.000940855
24,6051.11,1.29631,0.66901,1.33165,0.8665,0.81613,0.8315,0.52495,0.92117,0.53637,1.24477,0.000907848,0.000907848,0.000907848
25,6316.04,1.26203,0.64963,1.31052,0.88249,0.80522,0.83783,0.49995,1.07066,0.584,1.34792,0.000874842,0.000874842,0.000874842
26,6591.63,1.26121,0.63241,1.30423,0.88564,0.80383,0.85766,0.52186,0.97727,0.57487,1.30877,0.000841835,0.000841835,0.000841835
27,6819.67,1.22325,0.62125,1.28666,0.90539,0.76111,0.8379,0.52497,1.00928,0.52691,1.27117,0.000808828,0.000808828,0.000808828
28,7053.17,1.21081,0.62434,1.28957,0.94968,0.80423,0.87039,0.51151,0.99675,0.53544,1.29565,0.000775822,0.000775822,0.000775822
29,7303.56,1.20812,0.6074,1.28618,0.8709,0.77546,0.84185,0.50278,1.11821,0.55113,1.36427,0.000742815,0.000742815,0.000742815
30,7494.38,1.19438,0.60913,1.2599,0.83002,0.79402,0.83901,0.50469,1.08867,0.54837,1.33245,0.000709809,0.000709809,0.000709809
